Date,KOSPI,FX,US_10Y,KR_1M,US_1M,KR_10Y,SPX,Returns_SPX,VIX,Yield_Spread,Swap_Point_Proxy,FX_MA_Divergence,VIX_Change,,,,,
2004-07-26,95.22,1174,4.4821,3.74,1.26837,4.85,1084.07,0,13.22813012,0.3679,0.205969167,-0.017719985,0,,,,,
2004-07-27,95.66,1166,4.60713,3.74,1.30387,4.79,1094.83,0.009925558,13.22813012,0.18287,0.203010833,-0.017719985,0,,,,,
2004-07-28,96.55,1169,4.58804,3.74,1.32447,4.73,1095.42,0.000538896,13.22813012,0.14196,0.201294167,-0.017719985,0,,,,,
2004-07-29,94.59,1166,4.57785,3.74,1.28379,4.71,1100.43,0.004573588,13.22813012,0.13215,0.204684167,-0.017719985,0,,,,,
2004-07-30,95.27,1166,4.48424,3.74,1.24811,4.71,1101.72,0.001172269,13.22813012,0.22576,0.2076575,-0.017719985,0,,,,,
2004-08-02,93.19,1163,4.45278,3.74,1.25314,4.65,1106.62,0.004447591,13.22813012,0.19722,0.207238333,-0.017719985,0,,,,,
2004-08-03,94.21,1159.5,4.42639,3.75,1.27341,4.61,1099.69,-0.006262312,13.22813012,0.18361,0.2063825,-0.017719985,0,,,,,
2004-08-04,94.59,1155,4.42632,3.75,1.33463,4.54,1098.63,-0.000963908,13.22813012,0.11368,0.201280833,-0.017719985,0,,,,,
2004-08-05,96.31,1151,4.40248,3.75,1.3295,4.54,1080.7,-0.016320326,13.22813012,0.13752,0.201708333,-0.017719985,0,,,,,
2004-08-06,94.84,1152,4.22002,3.75,1.35983,4.59,1063.97,-0.015480707,13.22813012,0.36998,0.199180833,-0.017719985,0,,,,,
2004-08-09,96.08,1159,4.2638,3.74,1.3941,4.57,1065.22,0.001174845,13.22813012,0.3062,0.195491667,-0.017719985,0,,,,,
2004-08-10,96.72,1161,4.28764,3.74,1.38766,4.5,1079.04,0.012973846,13.22813012,0.21236,0.196028333,-0.017719985,0,,,,,
2004-08-11,97.23,1158.5,4.27764,3.74,1.38543,4.49,1075.79,-0.003011937,13.22813012,0.21236,0.196214167,-0.017719985,0,,,,,
2004-08-12,99.05,1157,4.25406,3.74,1.3041,4.35,1063.23,-0.011675141,13.22813012,0.09594,0.202991667,-0.017719985,0,,,,,
2004-08-13,100.15,1155.5,4.21537,3.51,1.32428,4.35,1064.8,0.001476633,13.22813012,0.13463,0.182143333,-0.017719985,0,,,,,
2004-08-16,99.72,1146.5,4.2574,3.5,1.34962,4.22,1079.34,0.013655147,13.22813012,-0.0374,0.179198333,-0.017719985,0,,,,,
2004-08-17,98.97,1143,4.19929,3.49,1.34957,4.2,1081.71,0.002195786,13.22813012,0.00071,0.178369167,-0.017719985,0,,,,,
2004-08-18,99.48,1136,4.22643,3.48,1.36003,4.2,1095.17,0.012443261,13.22813012,-0.02643,0.176664167,-0.017719985,0,,,,,
2004-08-19,101.18,1136.5,4.22888,3.48,1.33458,4.2,1091.23,-0.003597615,13.22813012,-0.02888,0.178785,-0.017719985,0,,,,,
2004-08-20,100.86,1135,4.23378,3.48,1.33443,4.2,1098.35,0.006524747,13.22813012,-0.03378,0.1787975,-0.017719985,0,,,,,
