,VIX,FX,Correlation,Scenario
5,12.65022833491857,1231.0499405257053,-0.3584254207064903,Low_Vol_Trap
6,11.93926709737656,1233.3218997144263,-0.37203364551691714,Low_Vol_Trap
11,14.381422417501106,1214.2524046176375,-0.3578352480770673,Low_Vol_Trap
12,15.438279994136334,1218.9526431937313,-0.3989246731107958,Low_Vol_Trap
14,14.926022390493477,1223.262688273607,-0.3794163474575557,Low_Vol_Trap
20,16.053147506528287,1242.5228665009035,-0.44719716342411786,Low_Vol_Trap
24,13.044953337658086,1222.2200857706464,-0.39775598405475365,Low_Vol_Trap
25,13.605368300059334,1225.3658060282455,-0.37709063360288947,Low_Vol_Trap
34,17.187493236533,1250.8544048992424,-0.5183637895372052,Low_Vol_Trap
53,11.338960540656155,1229.0863630642361,-0.4090186444731709,Low_Vol_Trap
54,12.32067895635358,1244.7367680690775,-0.40668602512636265,Low_Vol_Trap
55,11.569871781751987,1241.0308224564355,-0.3796379579965133,Low_Vol_Trap
58,15.0427810949806,1289.5710416001211,-0.37834078728688425,Low_Vol_Trap
59,15.073934458120366,1269.737236144321,-0.3453275003501102,Low_Vol_Trap
60,13.510898331735087,1269.2629553474367,-0.34057577968444724,Low_Vol_Trap
62,16.80913864698688,1269.105403471219,-0.42243370956443094,Low_Vol_Trap
63,17.67466612766549,1263.2750105164748,-0.4438100631670586,Low_Vol_Trap
68,14.713241503851926,1345.3327790787953,-0.35979249603045915,Low_Vol_Trap
70,20.543439183059757,1361.2247693936376,-0.18014889026350464,Low_Vol_Trap
71,21.669549574841106,1319.1699299290854,-0.07305203644108502,Low_Vol_Trap
72,24.31344311819861,1301.5399615418937,-0.07205419199454262,Low_Vol_Trap
73,20.206103104120356,1296.2874706833468,-0.18116407018868963,Low_Vol_Trap
76,17.313522950571404,1302.2893389108094,-0.3182728510750045,Low_Vol_Trap
77,18.721196153058667,1302.9475611691648,-0.3833715887407426,Low_Vol_Trap
80,13.95039706983961,1317.2351992147571,-0.3492422226311575,Low_Vol_Trap
82,14.145319690503715,1297.636202803052,-0.33135380306596474,Low_Vol_Trap
83,13.270600296592102,1264.6234055642783,-0.3213043556537882,Low_Vol_Trap
84,13.274435683249433,1262.6924429099656,-0.3413391113238122,Low_Vol_Trap
88,15.370702744058972,1299.7736226846985,-0.40639800242137086,Low_Vol_Trap
89,16.301441814682477,1270.5435866312598,-0.4292744649619741,Low_Vol_Trap
90,17.578075418635205,1262.3663573302633,-0.4477375590551866,Low_Vol_Trap
91,18.155983340152297,1243.5975104653355,-0.4356768572761474,Low_Vol_Trap
92,18.26810437400189,1248.2135370111125,-0.4854216624841545,Low_Vol_Trap
101,15.055641554447895,1340.3342597853596,-0.35782390150337107,Low_Vol_Trap
112,13.113850289893524,1321.6915760805618,-0.444310037942947,Low_Vol_Trap
116,15.567652941261054,1320.7307345014945,-0.4359555331040375,Low_Vol_Trap
117,15.725419929618717,1308.3102137618864,-0.46168027743237094,Low_Vol_Trap
118,15.666597882036651,1311.4916667711332,-0.5039920003166029,Low_Vol_Trap
128,11.43981288097375,1383.3751168086987,-0.4819904158518644,Low_Vol_Trap
129,12.35656444745793,1363.0890564494275,-0.47639323317009624,Low_Vol_Trap
130,12.425562012234764,1381.2537439566224,-0.45425768405265576,Low_Vol_Trap
133,14.350087122932361,1370.5107580546444,-0.4376429796195309,Low_Vol_Trap
134,14.557566001396282,1366.9351435936674,-0.4086995699057277,Low_Vol_Trap
135,14.716994610013254,1404.9696400361502,-0.43122326787206056,Low_Vol_Trap
136,15.205505439638355,1418.8458367610087,-0.46601684769380114,Low_Vol_Trap
144,16.45167906006018,1322.7907928284937,-0.4458924313210153,Low_Vol_Trap
147,16.287266452595173,1345.2136443570155,-0.4066181279851139,Low_Vol_Trap
155,19.78713387313192,1332.9240236929193,-0.31367755058433444,Low_Vol_Trap
156,23.6421299680852,1330.5429805002823,-0.2236049941733825,Low_Vol_Trap
157,25.45148576260604,1335.8997827197325,-0.10554326572030417,Low_Vol_Trap
158,23.845755112698743,1340.0822544215487,-0.03579101173147786,Low_Vol_Trap
159,22.611253174799153,1349.0726986318737,-0.0019238811826997855,Low_Vol_Trap
161,17.610837732236583,1357.089787343564,0.030864368463177184,Low_Vol_Trap
162,16.81745642911417,1341.9439027331027,0.026947185633899053,Low_Vol_Trap
164,26.328913423864744,1342.0967679620956,0.012339532408691595,Low_Vol_Trap
